date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:14	119225/119225	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Mar%202023%2003:17:10%20GMT	https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil.html	(from )
00:20:14	1729/1729	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:17:11%20GMT	https://www.infocursosbrasil.com.br/robots.txt		(from )
00:20:14	7378/7378	---M--	200	added ('OK')	image/png	etag:%22fda49121452c54ffacf487caf2c3ba5c%22	https://cdn.orbitpages.online/wp-content/uploads/sites/269240/2022/04/logo-info-150x150.png	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/wp-content/uploads/sites/269240/2022/04/logo-info-150x150.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:14	101920/101920	---M--	200	added ('OK')	image/png	etag:%225e85e4c74489d15f6b02668a1499f1fb%22	https://cdn.orbitpages.online/wp-content/uploads/sites/269240/2022/08/mocap-1200-atividades-educacao-infantil-3.png	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/wp-content/uploads/sites/269240/2022/08/mocap-1200-atividades-educacao-infantil-3.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:15	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://cdn.orbitpages.online/assets/libs/bootstrap/bootstrap.min.css	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/bootstrap/bootstrap.min.css	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:15	60563/60563	---MCZ	200	added ('OK')	text/css	etag:W/%2236d8cd1d738e0e695d930a6ec8c0f059%22	https://cdn.orbitpages.online/assets/libs/animate/animate.min.css	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/animate/animate.min.css	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:15	95282/95282	---MCZ	200	added ('OK')	text/css	etag:W/%2248d3565a7e27c3966aa7966233dac626%22	https://cdn.orbitpages.online/assets/libs/hover/hover.min.css	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/hover/hover.min.css	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:16	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css	C:/Meus%20Sites/1200%20Atividades/use.fontawesome.com/releases/v5.15.3/css/all.css	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:16	24855/24855	---MCZ	200	added ('OK')	text/css	etag:W/%228836d02722eeaf1da75174631a5456ab%22	https://cdn.orbitpages.online/assets/libs/plyr/plyr.css	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/plyr/plyr.css	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:17	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:20%20GMT	https://www.infocursosbrasil.com.br/img/stripes-light.png	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/img/stripes-light.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:18	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:20%20GMT	https://www.infocursosbrasil.com.br/img/premium-watermark.png	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/img/premium-watermark.png	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:18	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%2249edccea2e7ba985cadc9ba0531cbed1%22	https://cdn.orbitpages.online/assets/libs/jquery/jquery.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/jquery/jquery.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
